Year,short_name,long_name,age,nationality,club,overall,potential,eff_overall,player_positions,team_position,contract_valid_until
2016,Falcao,Radamel Falcao,29,Colombia,Chelsea,83,83,83,ST,SUB,2016
2016,Pedro,Pedro Rodriguez,27,Spain,Chelsea,83,83,83,"LW, RW",RM,2019
2016,Willian,Willian Borges,26,Brazil,Chelsea,82,84,83,"RM, CAM",SUB,2018
2016,Azpilicueta,Cesar Azpilicueta,25,Spain,Chelsea,82,84,83,LB,LB,2019
2016,A. Begovic,Asmir Begovic,28,Bosnia Herzegovina,Chelsea,82,82,82,GK,GK,2019
2016,L. Remy,Loic Remy,28,France,Chelsea,81,81,81,ST,SUB,2018
2016,B. Ivanovic,Branislav Ivanovic,31,Serbia,Chelsea,80,80,80,RB,RB,2016
2016,Ramires,Ramires,28,Brazil,Chelsea,80,80,80,"CDM, CM",SUB,2017
2016,A. Baba,Abdul Rahman Baba,20,Ghana,Chelsea,78,85,80,"LB, LM",SUB,2020
2016,K. Zouma,Kurt Zouma,20,France,Chelsea,77,87,79,"CB, RB",RCB,2019
2016,J. Mikel,John Obi Mikel,28,Nigeria,Chelsea,77,77,77,CDM,SUB,2017
2016,B. Traore,Bertrand Traore,19,Burkina Faso,Chelsea,74,85,77,"ST, RW",SUB,2018
2016,Kenedy,Kenedy,19,Brazil,Chelsea,70,85,73,ST,RES,2020
2016,K. Palmer,Kasey Palmer,18,England,Chelsea,64,76,67,"CAM, RM",RES,2017
2016,R. Loftus-Cheek,Ruben Loftus-Cheek,19,England,Chelsea,63,78,66,CM,SUB,2017
2016,J. Swift,John Swift,20,England,Chelsea,62,76,65,"CM, ST",RES,2016
2016,C. Musonda,Charly Musonda,18,Belgium,Chelsea,61,78,65,CAM,RES,2019
2016,O. Aina,Ola Aina,18,England,Chelsea,60,71,63,RB,RES,2016
2016,J. Blackman,Jamal Blackman,21,England,Chelsea,59,70,62,GK,SUB,2019
2016,A. Kiwomya,Alex Kiwomya,19,England,Chelsea,55,71,59,"RM, CAM",RES,2016
2016,Y. Cabaye,Yohan Cabaye,29,France,Crystal Palace,79,79,79,"CDM, CM",RDM,2018
2016,S. Dann,Scott Dann,28,England,Crystal Palace,78,78,78,CB,SUB,2020
2016,W. Zaha,Wilfried Zaha,22,England,Crystal Palace,77,81,78,"RW, RM, LM",RM,2020
2016,J. Speroni,Julian Speroni,36,Argentina,Crystal Palace,77,77,77,GK,SUB,2016
2016,P. Souare,Pape Souare,25,Senegal,Crystal Palace,76,80,77,"LB, LM",LB,2018
2016,J. Ward,Joel Ward,25,England,Crystal Palace,76,78,77,"RB, LB, CDM",SUB,2018
2016,Y. Bolasie,Yannick Bolasie,26,DR Congo,Crystal Palace,76,78,77,"LW, RW",ST,2017
2016,J. McArthur,James McArthur,27,Scotland,Crystal Palace,76,76,76,"CDM, CM",LDM,2018
2016,M. Jedinak,Mile Jedinak,30,Australia,Crystal Palace,76,76,76,"CDM, CM",SUB,2017
2016,A. McCarthy,Alex McCarthy,25,England,Crystal Palace,75,80,76,GK,GK,2019
2016,J. Puncheon,Jason Puncheon,29,England,Crystal Palace,75,75,75,"CAM, RM, LM",LM,2018
2016,B. Sako,Bakary Sako,27,Mali,Crystal Palace,75,75,75,LM,CAM,2018
2016,M. Kelly,Martin Kelly,25,England,Crystal Palace,74,77,75,"RB, LB",RB,2017
2016,M. Chamakh,Marouane Chamakh,31,Morocco,Crystal Palace,74,74,74,"CAM, CF, ST",SUB,2016
2016,D. Delaney,Damien Delaney,33,Republic of Ireland,Crystal Palace,74,74,74,CB,LCB,2016
2016,J. Ledley,Joe Ledley,28,Wales,Crystal Palace,74,74,74,"CM, CAM, CDM",SUB,2017
2016,C. Wickham,Connor Wickham,22,England,Crystal Palace,73,78,74,"ST, LM",RES,2020
2016,B. Hangeland,Brede Hangeland,34,Norway,Crystal Palace,73,73,73,CB,RCB,2016
2016,Lee Chung Yong,Lee Chung Yong,26,Korea Republic,Crystal Palace,73,73,73,"RM, LM, CAM",SUB,2018
2016,W. Hennessey,Wayne Hennessey,28,Wales,Crystal Palace,73,73,73,GK,SUB,2017
2016,J. Mutch,Jordon Mutch,23,England,Crystal Palace,71,77,73,"CM, CAM",SUB,2019
2016,D. Gayle,Dwight Gayle,24,England,Crystal Palace,71,75,72,ST,RES,2017
2016,F. Campbell,Fraizer Campbell,27,England,Crystal Palace,71,71,71,ST,SUB,2017
2016,A. Mariappa,Adrian Mariappa,28,Jamaica,Crystal Palace,71,71,71,"RB, CB",SUB,2016
2016,P. Bamford,Patrick Bamford,21,England,Crystal Palace,70,78,72,"ST, RM",SUB,2016
2016,P. McCarthy,Patrick McCarthy,32,Republic of Ireland,Crystal Palace,68,68,68,CB,RES,2016
2016,E. Fryers,Ezekiel Fryers,22,England,Crystal Palace,65,73,67,"LB, CB",RES,2017
2016,K. Appiah,Kwesi Appiah,24,Ghana,Crystal Palace,65,69,66,ST,RES,2016
2016,R. Allassani,Reise Allassani,19,England,Crystal Palace,56,70,59,"LM, CAM",RES,2016
2016,L. Baines,Leighton Baines,30,England,Everton,83,83,83,LB,SUB,2018
2016,S. Coleman,Seamus Coleman,26,Republic of Ireland,Everton,81,83,82,RB,SUB,2019
2016,P. Jagielka,Phil Jagielka,32,England,Everton,81,81,81,CB,LCB,2018
2016,R. Lukaku,Romelu Lukaku,22,Belgium,Everton,80,86,82,ST,ST,2019
2016,J. McCarthy,James McCarthy,24,Republic of Ireland,Everton,80,83,81,"CDM, CM",RDM,2020
2016,T. Howard,Tim Howard,36,United States,Everton,80,80,80,GK,GK,2018
2016,K. Mirallas,Kevin Mirallas,27,Belgium,Everton,80,80,80,"LM, RM",SUB,2018
2016,R. Barkley,Ross Barkley,21,England,Everton,79,87,81,"CAM, LM",CAM,2018
2016,G. Barry,Gareth Barry,34,England,Everton,79,79,79,CDM,LDM,2017
2016,Deulofeu,Gerard Deulofeu,21,Spain,Everton,78,85,80,"RM, RW",SUB,2018
2016,J. Stones,John Stones,21,England,Everton,77,87,79,"CB, RB",RCB,2019
2016,T. Cleverley,Tom Cleverley,25,England,Everton,77,80,78,"CM, CDM, CAM",SUB,2020
2016,S. Pienaar,Steven Pienaar,33,South Africa,Everton,77,77,77,LM,SUB,2016
2016,A. Kone,Arouna Kone,31,Ivory Coast,Everton,76,76,76,ST,RM,2016
2016,A. McGeady,Aiden McGeady,29,Republic of Ireland,Everton,76,76,76,"RM, RW",SUB,2018
2016,S. Naismith,Steven Naismith,28,Scotland,Everton,76,76,76,"CAM, RM, CF",LM,2019
2016,D. Gibson,Darron  Gibson,27,Republic of Ireland,Everton,76,76,76,"CM, CDM",SUB,2016
2016,M. Besic,Muhamed Besic,22,Bosnia Herzegovina,Everton,75,82,77,"CDM, CB",RES,2019
2016,L. Osman,Leon Osman,34,England,Everton,75,75,75,"LM, CM, CAM",SUB,2016
2016,Joel Robles,Joel Robles,25,Spain,Everton,74,78,75,GK,SUB,2018
2016,T. Hibbert,Tony Hibbert,34,England,Everton,72,72,72,RB,RES,2016
2016,B. Oviedo,Bryan Oviedo,25,Costa Rica,Everton,71,75,72,"LB, LM",RES,2016
2016,T. Browning,Tyias Browning,21,England,Everton,66,76,68,"CB, RB",RB,2017
2016,B. Galloway,Brendan Galloway,19,England,Everton,65,80,68,"LB, CB",LB,2019
2016,J. Stanek,Jindrich Stanek,19,Czech Republic,Everton,63,77,66,GK,RES,2016
2016,M. Pennington,Matthew Pennington,20,England,Everton,63,73,65,"CB, RB",RES,2018
2016,R. Ledson,Ryan Ledson,17,England,Everton,61,80,65,"CM, CAM",RES,2017
2016,M. Holgate,Mason Holgate,18,England,Everton,61,80,65,RB,RES,2020
2016,G. Inler,Gokhan Inler,31,Switzerland,Leicester City,80,80,80,"CDM, CM",LCM,2018
2016,R. Huth,Robert Huth,30,Germany,Leicester City,78,78,78,CB,RCB,2018
2016,S. Okazaki,Shinji Okazaki,29,Japan,Leicester City,78,78,78,ST,LS,2019
2016,N. Kante,N'Golo Kante,24,France,Leicester City,76,82,78,"CM, CDM",LM,2019
2016,K. Schmeichel,Kasper Schmeichel,28,Denmark,Leicester City,76,76,76,GK,GK,2018
2016,N. Dyer,Nathan Dyer,27,England,Leicester City,76,76,76,"RM, RW",SUB,2016
2016,Y. Benalouane,Yohan Benalouane,28,Tunisia,Leicester City,75,75,75,"CB, RB",SUB,2019
2016,R. Mahrez,Riyad Mahrez,24,Algeria,Leicester City,74,80,76,"RM, LM, CAM",RM,2019
2016,C. Fuchs,Christian Fuchs,29,Austria,Leicester City,74,74,74,"LWB, LB, LM",SUB,2018
2016,A. Kramaric,Andrej Kramaric,24,Croatia,Leicester City,73,77,74,"ST, LW, CAM",SUB,2018
2016,M. Schwarzer,Mark Schwarzer,42,Australia,Leicester City,73,73,73,GK,SUB,2016
2016,W. Morgan,Wes Morgan,31,Jamaica,Leicester City,73,73,73,CB,LCB,2017
2016,L. Ulloa,Leonardo Ulloa,28,Argentina,Leicester City,73,73,73,ST,SUB,2018
2016,D. Drinkwater,Danny Drinkwater,25,England,Leicester City,72,75,73,CM,RCM,2018
2016,R. De Laet,Ritchie De Laet,26,Belgium,Leicester City,72,74,73,RB,RB,2018
2016,M. Wasilewski,Marcin Wasilewski,35,Poland,Leicester City,72,72,72,CB,SUB,2016
2016,M. Albrighton,Marc Albrighton,25,England,Leicester City,71,75,72,"RM, RWB",SUB,2018
2016,D. Simpson,Danny Simpson,28,England,Leicester City,71,71,71,"RB, RWB",SUB,2017
2016,J. Vardy,Jamie Vardy,28,England,Leicester City,71,71,71,ST,RS,2018
2016,A. King,Andy King,26,Wales,Leicester City,70,73,71,"CM, CAM",SUB,2018
2016,J. Schlupp,Jeffrey Schlupp,22,Ghana,Leicester City,69,79,71,"LWB, LB, LM",LB,2019
2016,M. James,Matty James,23,England,Leicester City,69,74,70,CM,SUB,2018
2016,D. Hammond,Dean Hammond,32,England,Leicester City,68,68,68,"CM, CDM",SUB,2016
2016,M. Cain,Michael Cain,21,England,Leicester City,63,73,65,CM,RES,2016
2016,B. Chilwell,Ben Chilwell,18,England,Leicester City,61,77,65,"LB, CB",RES,2016
2016,J. Dodoo,Joe Dodoo,20,England,Leicester City,60,73,63,"ST, RM",RES,2016
2016,J. Barmby,Jack Barmby,20,England,Leicester City,60,71,63,"CAM, LWB",RES,2016
2016,H. Choudhury,Hamza Choudhury,17,England,Leicester City,57,73,61,CM,RES,2018
2016,K. Bailey,Kyle Bailey,18,England,Leicester City,56,69,59,ST,RES,2016
2016,B. Fox,Brandon Fox,18,England,Leicester City,55,72,59,ST,RES,2016
2016,A. Sesay,Alie Sesay,21,Sierra Leone,Leicester City,55,63,57,"CB, RB",RES,2016
2016,Coutinho,Philippe Coutinho,23,Brazil,Liverpool,84,88,85,"CAM, LW, CM",CAM,2020
2016,D. Sturridge,Daniel Sturridge,25,England,Liverpool,83,86,84,"ST, RW",RS,2019
2016,C. Benteke,Christian Benteke,24,Belgium,Liverpool,82,86,83,ST,LS,2020
2016,Roberto Firmino,Roberto Firmino,23,Brazil,Liverpool,82,86,83,"CAM, CF",SUB,2020
2016,N. Clyne,Nathaniel Clyne,24,England,Liverpool,81,85,82,RB,RWB,2020
2016,M. Sakho,Mamadou Sakho,25,France,Liverpool,81,82,82,CB,LCB,2018
2016,M. Skrtel,Martin Skrtel,30,Slovakia,Liverpool,81,81,81,CB,CB,2017
2016,J. Milner,James Milner,29,England,Liverpool,80,80,80,"CM, RM, LM",RCM,2019
2016,A. Lallana,Adam Lallana,27,England,Liverpool,80,80,80,"CAM, RW, LM",SUB,2019
2016,J. Henderson,Jordan Henderson,25,England,Liverpool,79,84,80,"CM, CDM, RM",SUB,2020
2016,D. Lovren,Dejan Lovren,25,Croatia,Liverpool,79,81,80,CB,SUB,2019
2016,Lucas Leiva,Lucas Leiva,28,Brazil,Liverpool,79,79,79,"CDM, CM",LCM,2017
2016,K. Toure,Kolo Toure,34,Ivory Coast,Liverpool,78,78,78,CB,SUB,2016
2016,S. Mignolet,Simon Mignolet,27,Belgium,Liverpool,78,78,78,GK,GK,2018
2016,Alberto Moreno,Alberto Moreno,22,Spain,Liverpool,77,82,78,"LB, LM, LWB",LWB,2019
2016,J. Allen,Joe Allen,25,Wales,Liverpool,77,80,78,"CM, CDM",SUB,2017
2016,D. Origi,Divock Origi,20,Belgium,Liverpool,76,86,78,"ST, LW, RW",SUB,2019
2016,D. Ings,Danny Ings,22,England,Liverpool,76,83,78,ST,SUB,2019
2016,Jose Enrique,Jose Enrique,29,Spain,Liverpool,76,76,76,LB,SUB,2016
2016,E. Can,Emre Can,21,Germany,Liverpool,75,83,77,"CDM, CM, CB",RCB,2019
2016,A. Bogdan,Adam Bogdan,27,Hungary,Liverpool,73,73,73,GK,SUB,2018
2016,J. Flanagan,Jon Flanagan,22,England,Liverpool,72,81,74,"RB, LB",RES,2016
2016,J. Ibe,Jordon Ibe,19,England,Liverpool,71,81,73,"LW, RW",SUB,2020
2016,J. Gomez,Joe Gomez,18,England,Liverpool,67,81,70,"LB, CB, RB",SUB,2020
2016,Teixeira,Joao Teixeira,22,Portugal,Liverpool,67,76,69,CAM,RES,2016
2016,J. Rossiter,Jordan Rossiter,18,England,Liverpool,61,77,65,CM,RES,2018
2016,C. Brannagan,Cameron Brannagan,19,England,Liverpool,60,76,64,"CAM, CM, RW",RES,2016
2016,David Silva,David Silva,29,Spain,Manchester City,88,88,88,"CAM, LM",SUB,2019
2016,S. Aguero,Sergio Aguero,27,Argentina,Manchester City,87,87,87,ST,ST,2019
2016,K. De Bruyne,Kevin De Bruyne,24,Belgium,Manchester City,86,89,87,"CAM, LM, RM",CAM,2021
2016,Y. Toure,Yaya Toure,32,Ivory Coast,Manchester City,85,85,85,"CM, CDM",RCM,2017
2016,V. Kompany,Vincent Kompany,29,Belgium,Manchester City,85,85,85,CB,SUB,2019
2016,J. Hart,Joe Hart,28,England,Manchester City,84,84,84,GK,GK,2019
2016,N. Otamendi,Nicolas Otamendi,27,Argentina,Manchester City,84,84,84,CB,RCB,2020
2016,S. Nasri,Samir Nasri,28,France,Manchester City,83,83,83,"LM, RM",SUB,2019
2016,R. Sterling,Raheem Sterling,20,England,Manchester City,82,88,84,"LM, ST, RM",LM,2020
2016,P. Zabaleta,Pablo Zabaleta,30,Argentina,Manchester City,82,82,82,RB,SUB,2017
2016,W. Bony,Wilfried Bony,26,Ivory Coast,Manchester City,81,84,82,ST,SUB,2019
2016,M. Demichelis,Martin Demichelis,34,Argentina,Manchester City,81,81,81,CB,SUB,2016
2016,E. Mangala,Eliaquim Mangala,24,France,Manchester City,80,84,81,CB,LCB,2019
2016,Fernandinho,Fernandinho,30,Brazil,Manchester City,80,80,80,"CM, CDM",LCM,2017
2016,Jesus Navas,Jesus Navas,29,Spain,Manchester City,80,80,80,RM,RM,2017
2016,G. Clichy,Gael Clichy,29,France,Manchester City,80,80,80,LB,SUB,2017
2016,B. Sagna,Bacary Sagna,32,France,Manchester City,79,79,79,RB,RB,2017
2016,A. Kolarov,Aleksandar Kolarov,29,Serbia,Manchester City,79,79,79,LB,LB,2018
2016,W. Caballero,Willy Caballero,33,Argentina,Manchester City,78,78,78,GK,SUB,2017
2016,Fernando,Fernando,27,Brazil,Manchester City,78,78,78,"CDM, CM",SUB,2018
2016,F. Delph,Fabian Delph,25,England,Manchester City,77,81,78,"CM, CDM",RES,2020
2016,B. Zuculini,Bruno Zuculini,22,Argentina,Manchester City,74,84,76,"CM, RM",RES,2019
2016,K. Iheanacho,Kelechi Iheanacho,18,Nigeria,Manchester City,67,85,71,ST,SUB,2016
2016,T. Ambrose,Thierry Ambrose,18,France,Manchester City,65,83,69,"ST, RW",RES,2020
2016,P. Roberts,Patrick Roberts,18,England,Manchester City,65,81,69,RM,SUB,2020
2016,B. Barker,Brandon Barker,18,England,Manchester City,64,80,68,LM,RES,2020
2016,R. Wright,Richard Wright,37,England,Manchester City,63,63,63,GK,RES,2016
2016,Manu Garcia,Manu Garcia,17,Spain,Manchester City,61,81,65,CAM,RES,2018
2016,G. Evans,George Evans,20,England,Manchester City,61,73,64,"CM, CDM, CB",RES,2016
2016,De Gea,David De Gea,24,Spain,Manchester United,86,89,87,GK,GK,2019
2016,W. Rooney,Wayne Rooney,29,England,Manchester United,86,86,86,"ST, CM, CAM",ST,2019
2016,B. Schweinsteiger,Bastian Schweinsteiger,30,Germany,Manchester United,86,86,86,"CM, CDM",SUB,2018
2016,Juan Mata,Juan Mata,27,Spain,Manchester United,84,84,84,"RM, CAM",RM,2018
2016,M. Schneiderlin,Morgan Schneiderlin,25,France,Manchester United,82,85,83,"CDM, CM",LDM,2019
2016,Victor Valdes,Victor Valdes,33,Spain,Manchester United,82,82,82,GK,SUB,2016
2016,M. Depay,Memphis Depay,21,Netherlands,Manchester United,81,89,83,"LW, CAM",LM,2019
2016,M. Darmian,Matteo Darmian,25,Italy,Manchester United,81,85,82,"RB, RWB, LWB",RB,2019
2016,Ander Herrera,Ander Herrera,25,Spain,Manchester United,81,84,82,"CM, CAM",CAM,2018
2016,M. Rojo,Marcos Rojo,25,Argentina,Manchester United,81,84,82,"CB, LB",LB,2019
2016,D. Blind,Daley Blind,25,Netherlands,Manchester United,80,84,81,"CDM, LB, CM",LCB,2018
2016,P. Jones,Phil Jones,23,England,Manchester United,80,84,81,"CB, RB",SUB,2019
2016,M. Carrick,Michael Carrick,33,England,Manchester United,80,80,80,"CM, CDM",RDM,2016
2016,A. Young,Ashley Young,29,England,Manchester United,80,80,80,"LM, LWB",SUB,2018
2016,C. Smalling,Chris Smalling,25,England,Manchester United,79,84,80,"CB, RB",RCB,2019
2016,A. Valencia,Antonio Valencia,29,Ecuador,Manchester United,79,79,79,"RM, RB, RWB",SUB,2017
2016,L. Shaw,Luke Shaw,19,England,Manchester United,78,89,81,LB,SUB,2018
2016,M. Fellaini,Marouane Fellaini,27,Belgium,Manchester United,78,78,78,"CM, CDM",SUB,2018
2016,S. Romero,Sergio Romero,28,Argentina,Manchester United,76,76,76,GK,SUB,2018
2016,J. Lingard,Jesse Lingard,22,England,Manchester United,69,78,71,"CAM, LM",SUB,2017
2016,N. Powell,Nick Powell,21,England,Manchester United,69,76,71,"CAM, ST",SUB,2016
2016,A. Pereira,Andreas Pereira,19,Brazil,Manchester United,66,82,70,"CAM, CM",RES,2018
2016,J. Wilson,James Wilson,19,England,Manchester United,66,76,68,ST,RES,2017
2016,P. McNair,Paddy McNair,20,Northern Ireland,Manchester United,65,77,68,CB,SUB,2017
2016,S. Johnstone,Sam Johnstone,22,England,Manchester United,63,73,65,GK,RES,2017
2016,G. Varela,Guillermo Varela,22,Uruguay,Manchester United,63,67,64,RB,RES,2018
2016,S. El-Fitouri,Sadiq El-Fitouri,20,Libya,Manchester United,58,68,60,RB,RES,2016
2016,G. Wijnaldum,Georginio Wijnaldum,24,Netherlands,Newcastle United,80,84,81,"CAM, CM",LCM,2020
2016,F. Coloccini,Fabricio Coloccini,33,Argentina,Newcastle United,79,79,79,CB,LCB,2017
2016,T. Krul,Tim Krul,27,Netherlands,Newcastle United,79,79,79,GK,GK,2017
2016,M. Sissoko,Moussa Sissoko,25,France,Newcastle United,78,82,79,"CAM, CM, RM",RCM,2019
2016,C. Tiote,Cheik Tiote,29,Ivory Coast,Newcastle United,78,78,78,"CDM, CM",SUB,2017
2016,P. Cisse,Papiss Cisse,30,Senegal,Newcastle United,78,78,78,ST,ST,2017
2016,C. Mbemba,Chancel Mbemba,20,DR Congo,Newcastle United,77,84,79,CB,RCB,2020
2016,D. Janmaat,Daryl Janmaat,25,Netherlands,Newcastle United,77,81,78,RB,RB,2020
2016,S. de Jong,Siem de Jong,26,Netherlands,Newcastle United,77,79,78,"CAM, ST",SUB,2020
2016,A. Mitrovic,Aleksandar Mitrovic,20,Serbia,Newcastle United,76,83,78,ST,SUB,2020
2016,F. Thauvin,Florian Thauvin,22,France,Newcastle United,76,82,78,"RM, CAM, RW",RM,2020
2016,J. Colback,Jack Colback,25,England,Newcastle United,76,79,77,"CDM, LB, CM",CDM,2020
2016,S. Taylor,Steven Taylor,29,England,Newcastle United,76,76,76,CB,SUB,2016
2016,Y. Gouffran,Yoan Gouffran,29,France,Newcastle United,75,75,75,"LM, RM",SUB,2017
2016,S. Marveaux,Sylvain Marveaux,29,France,Newcastle United,75,75,75,"CAM, ST, LW",SUB,2016
2016,Ayoze Perez,Ayoze Perez,21,Spain,Newcastle United,73,82,75,"ST, CAM",LM,2019
2016,V. Anita,Vurnon Anita,26,Netherlands,Newcastle United,73,75,74,"CDM, CM",SUB,2017
2016,M. Williamson,Mike Williamson,31,England,Newcastle United,73,73,73,CB,SUB,2016
2016,M. Haidara,Massadio Haidara,22,France,Newcastle United,72,81,74,LB,LB,2018
2016,E. Riviere,Emmanuel Riviere,25,France,Newcastle United,72,76,73,ST,RES,2020
2016,R. Aarons,Rolando Aarons,19,England,Newcastle United,71,81,73,LM,SUB,2016
2016,P. Dummett,Paul Dummett,23,Wales,Newcastle United,69,73,70,"LB, CB",RES,2019
2016,G. Obertan,Gabriel Obertan,26,France,Newcastle United,69,71,70,"RM, LM",SUB,2016
2016,R. Elliot,Rob Elliot,29,Republic of Ireland,Newcastle United,69,69,69,GK,SUB,2016
2016,J. Lascelles,Jamaal Lascelles,21,England,Newcastle United,68,80,71,CB,SUB,2019
2016,K. Darlow,Karl Darlow,24,England,Newcastle United,68,75,70,GK,RES,2019
2016,G. Bigirimana,Gael Bigirimana,21,England,Newcastle United,65,73,67,"CM, CDM",RES,2017
2016,C. Good,Curtis Good,22,Australia,Newcastle United,63,73,65,"CB, LB",RES,2018
2016,C. Roberts,Callum Roberts,18,England,Newcastle United,62,74,65,CF,RES,2016
2016,I. Toney,Ivan Toney,19,England,Newcastle United,60,72,63,ST,RES,2020
2016,Y. Mulumbu,Youssouf Mulumbu,28,DR Congo,Norwich City,78,78,78,"CDM, CM",SUB,2017
2016,W. Hoolahan,Wes Hoolahan,33,Republic of Ireland,Norwich City,76,76,76,"CAM, LM",SUB,2017
2016,M. Olsson,Martin Olsson,27,Sweden,Norwich City,76,76,76,LB,SUB,2017
2016,J. Ruddy,John Ruddy,28,England,Norwich City,75,76,76,GK,GK,2017
2016,C. Jerome,Cameron Jerome,28,England,Norwich City,75,75,75,ST,ST,2017
2016,S. Bassong,Sebastien Bassong,28,Cameroon,Norwich City,75,75,75,CB,LCB,2017
2016,N. Redmond,Nathan Redmond,21,England,Norwich City,74,82,76,"RM, LM",RM,2017
2016,J. Howson,Jonny Howson,27,England,Norwich City,74,75,75,"CM, RM",CAM,2019
2016,A. Tettey,Alexander Tettey,29,Norway,Norwich City,74,74,74,"CM, CDM",LDM,2016
2016,M. Jarvis,Matt Jarvis,29,England,Norwich City,74,74,74,"LM, RM",LM,2016
2016,G. Dorrans,Graham Dorrans,28,Scotland,Norwich City,74,74,74,"CM, RM",RDM,2017
2016,G. Hooper,Gary Hooper,27,England,Norwich City,74,74,74,ST,SUB,2016
2016,R. Martin,Russell Martin,29,Scotland,Norwich City,73,73,73,"CB, RB",RCB,2018
2016,A. Wisdom,Andre Wisdom,22,England,Norwich City,71,78,73,RB,SUB,2016
2016,R. Bennett,Ryan Bennett,25,England,Norwich City,71,74,72,CB,SUB,2017
2016,S. Whittaker,Steven Whittaker,31,Scotland,Norwich City,71,71,71,RB,RB,2016
2016,K. Lafferty,Kyle Lafferty,27,Northern Ireland,Norwich City,70,70,70,"ST, LM",SUB,2017
2016,R. Brady,Robbie Brady,23,Republic of Ireland,Norwich City,69,76,71,"LWB, LM, LB",LB,2018
2016,E. Bennett,Elliott Bennett,26,Jamaica,Norwich City,69,73,70,"RM, LM",SUB,2016
2016,L. Grabban,Lewis Grabban,27,Jamaica,Norwich City,69,69,69,ST,SUB,2017
2016,G. O'Neil,Gary O'Neil,32,England,Norwich City,68,68,68,"CM, CDM, RM",SUB,2016
2016,D. Rudd,Declan Rudd,24,England,Norwich City,67,72,68,GK,SUB,2017
2016,H. Toffolo,Harry Toffolo,19,England,Norwich City,65,75,67,"LB, LWB",RES,2017
2016,J. Kean,Jake Kean,24,England,Norwich City,62,68,64,GK,RES,2017
2016,J. Loza,Jamar Loza,21,Jamaica,Norwich City,61,72,64,ST,RES,2016
2016,C. McGrandles,Conor McGrandles,19,Scotland,Norwich City,57,72,60,"CM, LM, RM",RES,2017
2016,A. Gafaiti,Adel Gafaiti,20,Algeria,Norwich City,57,69,60,CB,RES,2016
2016,C. King,Cameron King,19,Scotland,Norwich City,57,65,59,"CAM, LM",RES,2016
2016,B. Killip,Ben Killip,19,England,Norwich City,54,65,57,GK,RES,2016
2016,Jose Fonte,Jose Fonte,31,Portugal,Southampton,81,81,81,CB,RCB,2017
2016,D. Tadic,Dusan Tadic,26,Serbia,Southampton,79,81,80,"LM, RM, CAM",LM,2018
2016,S. Mane,Sadio Mane,23,Senegal,Southampton,78,84,80,"CF, LM, LW, RM",CAM,2018
2016,Cedric,Cedric Soares,23,Portugal,Southampton,78,82,79,RB,RB,2019
2016,G. Ramirez,Gaston Ramirez,24,Uruguay,Southampton,78,82,79,"CAM, RM",SUB,2016
2016,R. Bertrand,Ryan Bertrand,25,England,Southampton,78,81,79,LB,SUB,2019
2016,J. Clasie,Jordy Clasie,24,Netherlands,Southampton,78,81,79,CDM,SUB,2020
2016,J. Rodriguez,Jay Rodriguez,25,England,Southampton,77,81,78,"LM, ST",SUB,2019
2016,V. Wanyama,Victor Wanyama,24,Kenya,Southampton,77,81,78,"CDM, CM",RDM,2017
2016,S. Caulker,Steven Caulker,23,England,Southampton,77,81,78,CB,SUB,2016
2016,M. Stekelenburg,Maarten Stekelenburg,32,Netherlands,Southampton,77,77,77,GK,GK,2016
2016,G. Pelle,Graziano Pelle,29,Italy,Southampton,77,77,77,ST,ST,2017
2016,S. Davis,Steven Davis,30,Northern Ireland,Southampton,76,76,76,"CM, RM",SUB,2018
2016,F. Forster,Fraser Forster,27,England,Southampton,76,76,76,GK,SUB,2018
2016,S. Long,Shane Long,28,Republic of Ireland,Southampton,75,75,75,"ST, RM",SUB,2018
2016,J. Ward-Prowse,James Ward-Prowse,20,England,Southampton,74,82,76,"CAM, CM, RM",RM,2020
2016,F. Gardos,Florin Gardos,26,Romania,Southampton,74,76,75,CB,RES,2018
2016,Oriol Romeu,Oriol Romeu,23,Spain,Southampton,73,78,74,CDM,LDM,2018
2016,M. Yoshida,Maya Yoshida,26,Japan,Southampton,73,75,74,CB,LCB,2018
2016,K. Davis,Kelvin Davis,38,England,Southampton,71,71,71,GK,SUB,2016
2016,Juanmi,Juanmi,22,Spain,Southampton,70,77,72,"CAM, ST, LM",SUB,2019
2016,C. Martina,Cuco Martina,25,Curacao,Southampton,69,71,70,"RB, CB",SUB,2017
2016,H. Reed,Harrison Reed,20,England,Southampton,67,80,70,CDM,RES,2018
2016,M. Targett,Matt Targett,19,England,Southampton,66,80,69,LB,LB,2019
2016,L. Isgrove,Lloyd Isgrove,22,Wales,Southampton,66,75,68,"RM, LM",RES,2017
2016,P. Gazzaniga,Paulo Gazzaniga,23,Argentina,Southampton,65,72,67,GK,RES,2019
2016,R. Seager,Ryan Seager,19,England,Southampton,62,77,65,ST,RES,2018
2016,J. Hesketh,Jake Hesketh,19,England,Southampton,62,76,65,CAM,RES,2017
2016,J. Flannigan,Jake Flannigan,19,England,Southampton,61,73,64,CM,RES,2016
2016,D. Gape,Dominic Gape,20,England,Southampton,60,72,63,CM,RES,2017
2016,S. McQueen,Sam McQueen,20,England,Southampton,59,73,62,LM,RES,2018
2016,Bojan,Bojan Krkic,24,Spain,Stoke City,81,84,82,"CAM, ST, RW",CAM,2018
